wl,FSS99,FSS80,FSS60,FSS40,FSS20,FSS10,FSS5,FSS2
386,92.61500081,78.7902356,62.93884055,50.48019684,10.06947909,5.597950337,1.291648031,2.488226227
387,92.56085599,78.79581661,62.98571786,50.48666724,10.04415942,5.591547819,1.282804553,2.470429302
388,92.57135053,78.80814799,62.99057775,50.48323873,10.04725492,5.574925802,1.271842836,2.474295592
389,92.55411218,78.86103599,62.99026238,50.46406553,10.03189677,5.558471034,1.258327452,2.472372494
390,92.59131249,78.85462418,62.98718969,50.51106062,10.04874417,5.572402824,1.256497842,2.49529504
391,92.66173714,78.8956909,62.96534579,50.51941581,10.070769,5.582206494,1.280797079,2.514982547
392,92.71241595,78.99945227,62.94332235,50.5359718,10.06717355,5.58871048,1.295963798,2.514293336
393,92.71950229,79.02670358,63.01860517,50.60973897,10.09011405,5.60669123,1.325247651,2.530559732
394,92.6982734,79.04802025,63.01194969,50.6104266,10.09571469,5.601800984,1.337416659,2.541715468
395,92.67063235,79.04641814,63.0157833,50.57955526,10.07951601,5.59149589,1.328127936,2.535563548
396,92.69123886,79.02435052,63.04410538,50.60273136,10.08605233,5.602042117,1.342088347,2.552531828
397,92.79925845,79.01842886,63.00402777,50.58076211,10.08340175,5.581596321,1.32721268,2.544324702
398,92.77215931,78.99360715,62.99154232,50.54696306,10.09205427,5.592407315,1.335724901,2.547007323
399,92.79575233,78.99752959,62.98893032,50.55015129,10.12595453,5.601781881,1.34061019,2.555827723
400,92.79245676,79.01380619,62.98854493,50.58192003,10.12677663,5.607743615,1.329642987,2.548398435
401,92.75415189,78.97660652,63.00535114,50.58968456,10.11908698,5.59702081,1.300261984,2.533432646
402,92.83383561,78.97491423,63.03537541,50.60890375,10.11194717,5.59098929,1.280082495,2.537045967
403,92.82706218,79.01837094,62.99335037,50.59487801,10.0832103,5.573294089,1.273487059,2.54324858
404,92.87103529,79.02932265,63.02772741,50.57141135,10.07781165,5.563777898,1.289180818,2.554902284
405,92.87716947,79.10627721,63.09131312,50.63821606,10.09427335,5.589564797,1.322668409,2.585254149
406,92.84000364,79.11592309,63.11863685,50.69544956,10.11076105,5.590545837,1.346024878,2.59518592
407,92.84472804,79.09190116,63.21029946,50.75282929,10.14288008,5.605335631,1.367487509,2.606861371
408,92.80297415,79.0906102,63.24074862,50.75878641,10.15696504,5.611770239,1.374561019,2.622360745
409,92.81860028,79.09768431,63.25087065,50.73353882,10.17248486,5.623218302,1.407647319,2.630218793
410,92.92076179,79.18005542,63.2440854,50.70944186,10.17019239,5.625989625,1.413666612,2.640217018
411,92.96114534,79.21314046,63.21625741,50.71519055,10.15515472,5.638970772,1.420583954,2.649991646
412,93.01387453,79.25778862,63.2129434,50.72022834,10.1445312,5.620943248,1.40553489,2.650623264
413,92.97719588,79.26845689,63.16177928,50.64775336,10.10350215,5.581970945,1.378155207,2.64577885
414,92.90398984,79.21340615,63.22584512,50.70396672,10.10982915,5.580846031,1.367033414,2.644986004
415,92.9021283,79.16660975,63.33314787,50.76372137,10.13161925,5.581005767,1.371951744,2.653088643
416,92.89361764,79.13167717,63.38679381,50.82798069,10.13083664,5.587840617,1.383234151,2.644253194
417,92.98063655,79.16543001,63.45161074,50.8838739,10.14053057,5.603064211,1.395320217,2.657430265
418,93.00123321,79.23129409,63.47017019,50.92250005,10.14232998,5.593727699,1.412666931,2.672038668
419,93.06731237,79.41330967,63.51508327,50.98043196,10.1320965,5.590903147,1.415429484,2.686114781
420,93.1197645,79.54366382,63.58298025,51.10010503,10.15863689,5.59877453,1.425663669,2.698968126
421,93.11549769,79.61879577,63.64493605,51.21254356,10.17033615,5.600490842,1.430200024,2.698115587
422,93.19870204,79.70073127,63.75041177,51.2882555,10.17254019,5.620735124,1.436822532,2.707870858
423,93.21289928,79.71407182,63.8555107,51.37908554,10.20230154,5.640914007,1.449703022,2.726510747
424,93.19185718,79.72750337,63.88549746,51.38375343,10.2077374,5.642929581,1.445754195,2.74243073
425,93.21355169,79.72819716,63.90318641,51.36899592,10.20997224,5.658273402,1.435037187,2.754259903
426,93.17360332,79.7003452,63.87163556,51.33720359,10.21662499,5.654874767,1.435014578,2.755272269
427,93.17430052,79.65819729,63.71107792,51.20193004,10.19196842,5.639530929,1.428755561,2.744365706
428,93.14548976,79.57486489,63.61033783,51.12138711,10.17929711,5.634251833,1.432325997,2.738554591
429,93.12684971,79.51927402,63.56982659,51.10852886,10.19326362,5.631131486,1.444438975,2.741134624
430,93.08642414,79.44108653,63.50694017,51.08421027,10.17270559,5.616987819,1.41414047,2.725439687
431,93.07674579,79.42100903,63.50904527,51.09561468,10.16621244,5.60965779,1.406089887,2.724001636
432,93.15091118,79.46124622,63.53823183,51.09893392,10.16658376,5.612782297,1.406445934,2.727368195
433,93.14415781,79.47052966,63.5332721,51.09847284,10.16610397,5.630954108,1.433641588,2.737305411
434,93.20779998,79.50652826,63.51968729,51.06652091,10.18660887,5.652956708,1.463963269,2.75543218
435,93.25630815,79.51343658,63.51166494,51.05706023,10.19801845,5.658491379,1.490439093,2.755479718
436,93.24033971,79.47008046,63.45800344,51.03229958,10.20461914,5.672237035,1.49731157,2.759453349
437,93.27722676,79.49576004,63.41137446,51.00847539,10.19625467,5.649415757,1.482929515,2.756155384
438,93.30452329,79.54482369,63.39381901,51.01830916,10.18385854,5.632272123,1.472648128,2.755082139
439,93.22771663,79.52715211,63.42261832,51.04205725,10.16804468,5.629589412,1.454379546,2.759810409
440,93.20509134,79.57649552,63.48348333,51.10858614,10.15202977,5.616957336,1.448539477,2.763472959
441,93.22486375,79.58928876,63.57166018,51.1690334,10.1639064,5.6249432,1.453832225,2.780065661
