wl,FSS99,FSS80,FSS60,FSS40,FSS20,FSS10,FSS5,FSS2
418,0.93001233,0.79231294,0.63470170,0.50922500,0.10142330,0.055937277,0.014126669,0.026720387
419,0.93067312,0.79413310,0.63515083,0.50980432,0.1013210,0.055909031,0.014154295,0.026861148
420,0.9311976,0.79543664,0.63582980,0.51100105,0.10158637,0.05598775,0.014256637,0.026989681
421,0.93115498,0.79618796,0.63644936,0.51212544,0.10170336,0.056004908,0.014302000,0.026981156
422,0.93198702,0.79700731,0.63750412,0.5128826,0.10172540,0.056207351,0.014368225,0.027078709
423,0.93212899,0.79714072,0.6385551,0.51379086,0.10202302,0.056409140,0.014497030,0.027265107
424,0.93191857,0.79727503,0.63885497,0.51383753,0.1020774,0.056429296,0.014457542,0.02742431
425,0.93213552,0.79728197,0.63903186,0.51368996,0.10209972,0.056582734,0.014350372,0.027542599
426,0.93173603,0.7970035,0.63871636,0.51337204,0.10216625,0.056548748,0.014350146,0.027552723
427,0.93174301,0.79658197,0.63711078,0.51201930,0.10191968,0.056395309,0.014287556,0.027443657
428,0.93145490,0.79574865,0.63610338,0.51121387,0.10179297,0.056342518,0.014323260,0.027385546
429,0.93126850,0.79519274,0.63569827,0.51108529,0.10193264,0.056311315,0.014444390,0.027411346
430,0.93086424,0.79441087,0.63506940,0.51084210,0.10172706,0.056169878,0.01414140,0.027254397
431,0.93076746,0.79421009,0.63509045,0.51095615,0.10166212,0.05609658,0.014060899,0.027240016
432,0.93150911,0.79461246,0.63538232,0.51098934,0.10166584,0.056127823,0.014064459,0.027273682
433,0.93144158,0.79470530,0.6353327,0.51098473,0.10166104,0.056309541,0.014336416,0.027373054
434,0.93207800,0.79506528,0.63519687,0.51066521,0.10186609,0.056529567,0.014639633,0.02755432
435,0.93256308,0.79513437,0.63511665,0.51057060,0.10198018,0.056584914,0.014904391,0.027554797
436,0.93240340,0.79470080,0.63458003,0.51032300,0.10204619,0.056722370,0.01497312,0.027594533
437,0.93277227,0.79495760,0.63411374,0.51008475,0.10196255,0.056494158,0.014829295,0.027561554
