wavelength,UV,blue,green
479,1.5934333679878E-09,0.00476958650231144,0.00410883698800693
480,1.15101696051654E-09,0.00451444617040819,0.00416179435884509
481,9.74784698619267E-10,0.00428387858182628,0.00421633536528403
482,7.98552436721998E-10,0.00405331099324437,0.00427087637172296
483,6.20484422096633E-10,0.00382274340466247,0.00432541737816190
484,4.44252160199365E-10,0.00359217581608056,0.00437995838460083
485,3.74493556531696E-10,0.00339122936051334,0.00443571859166965
486,3.06570705592123E-10,0.00319028290494611,0.00449147879873848
487,2.36812101924455E-10,0.00298933644937889,0.00454723900580730
488,1.67420648802405E-10,0.00278838999381167,0.00460299921287612
489,1.40985809517815E-10,0.00261913685912163,0.00465951976381603
490,1.14550970233225E-10,0.00244988372443160,0.00471604031475594
491,8.81161309486343E-11,0.00228063058974156,0.00477256086569585
492,6.1681291664044E-11,0.00211137745505153,0.00482908141663575
493,5.17682269323226E-11,0.00197339792046766,0.00488581400246782
494,4.20387374734109E-11,0.00183541838588380,0.00494254658829988
495,3.21256727416896E-11,0.00169743885129993,0.00499927917413194
496,2.22126080099682E-11,0.00155945931671607,0.00505601175996400
497,1.85411025537751E-11,0.00145046106110436,0.00511230205426321
498,1.50348148431107E-11,0.00134146280549265,0.00516859234856242
499,1.14367394960415E-11,0.00123246454988094,0.00522488264286163
500,7.83866414897226E-12,0.00112346629426924,0.00528117293716084
501,6.55363723930468E-12,0.00103995653638836,0.00533626059605611
502,5.26861032963709E-12,0.000956446778507477,0.00539134825495138
503,3.98358341996951E-12,0.000872937020626598,0.00544643591384665
504,2.69855651030193E-12,0.000789427262745719,0.00550152357274192
505,2.25797585555875E-12,0.000727326199296976,0.00555455548709685
506,1.806380684447E-12,0.000665225135848233,0.00560758740145178
507,1.35845701879145E-12,0.000603124072399490,0.00566061931580671
508,9.12369105863984E-13,0.000541023008950747,0.00571365123016164
509,7.60001629431971E-13,0.000496171588657702,0.00576367655600673
510,6.07634152999957E-13,0.000451320168364658,0.00581370188185181
511,4.53430923839847E-13,0.000406468748071613,0.00586372720769690
512,3.01063447407834E-13,0.000361617327778568,0.00591375253354198
513,2.4966237102113E-13,0.000330147075283180,0.00595974753991353
514,2.00097047362524E-13,0.000298676822787792,0.00600574254628509
515,1.48328820430201E-13,0.000267206570292403,0.00605173755265665
516,9.74784698619267E-14,0.000235736317797015,0.00609773255902820
517,8.07731200362481E-14,0.000214268921159143,0.00613860891058134
518,6.42513454833792E-14,0.000192801524521270,0.00617948526213448
519,4.75459956577006E-14,0.000171334127883398,0.00622036161368763
520,3.0840645832022E-14,0.000149866731245525,0.00626123796524077
521,2.5516962920542E-14,0.000135631446354401,0.00629588247879168
522,2.0193280009062E-14,0.000121396161463277,0.00633052699234260
523,1.4906312152144E-14,0.000107160876572153,0.00636517150589351
524,9.60098676794494E-15,9.29255916810287E-05,0.00639981601944443
525,7.93045178537709E-15,8.37416315935385E-05,0.00642711219876412
526,6.25991680280923E-15,7.45576715060483E-05,0.00645440837808381
527,4.58938182024137E-15,6.53737114185582E-05,0.00648170455740350
528,2.91884683767351E-15,5.6189751331068E-05,0.00650900073672319
529,2.40483607380648E-15,5.04281298380213E-05,0.00652787184212493
530,1.89082530993944E-15,4.46665083449746E-05,0.00654674294752667
531,1.3841575569848E-15,3.89048868519278E-05,0.00656561405292841
532,8.7198254584586E-16,3.31432653588811E-05,0.00658448515833015
533,7.1777931668575E-16,2.96211330146855E-05,0.00659393727625697
534,5.6357608752564E-16,2.60990006704898E-05,0.00660338939418379
535,4.0937285836553E-16,2.25768683262941E-05,0.00661284151211061
536,2.5516962920542E-16,1.90547359820985E-05,0.00662229363003743
537,2.09275811003006E-16,1.69649374578757E-05,0.00662146536873996
