wl,uR,B,G,R
372,0.031689265551679,2.50951840411734E-05,-1.84405324994008E-05,7.83078124087962E-05
373,0.030026880917116,3.02306056635039E-05,-1.17855123778022E-05,6.91155917770518E-05
374,0.028364496282552,3.53660272858343E-05,-5.13049225620355E-06,5.99233711453075E-05
375,0.026702111647989,4.05014489081648E-05,1.52452786539509E-06,5.07311505135631E-05
376,0.022058849481754,3.28273752272494E-05,-8.87146206489448E-06,3.73572915002883E-05
377,0.01741558731552,2.51533015463341E-05,-1.9267451995184E-05,2.39834324870135E-05
378,0.012772325149285,1.74792278654187E-05,-2.96634419254736E-05,1.06095734737387E-05
379,0.008129062983051,9.80515418450333E-06,-4.00594318557632E-05,-2.76428553953605E-06
380,0.003485800816816,2.13108050358797E-06,-5.04554217860527E-05,-1.61381445528108E-05
381,0.002809548151507,9.12620862075942E-07,-4.57326542104055E-05,-1.81008555740038E-05
382,0.002133295486198,-3.05838779436082E-07,-4.10098866347583E-05,-2.00635665951968E-05
383,0.00145704282089,-1.52429842094811E-06,-3.6287119059111E-05,-2.20262776163897E-05
384,0.000780790155581,-2.74275806246013E-06,-3.15643514834638E-05,-2.39889886375827E-05
385,0.000104537490272,-3.96121770397215E-06,-2.68415839078166E-05,-2.59516996587757E-05
386,9.9718405780548E-05,8.24758259093581E-06,-2.43878814856875E-05,-4.9127478969299E-07
387,9.48993212889756E-05,2.04563828858438E-05,-2.19341790635584E-05,2.49691500793897E-05
388,9.00802367974032E-05,3.26651831807517E-05,-1.94804766414293E-05,5.04295749484724E-05
389,8.52611523058308E-05,4.48739834756597E-05,-1.70267742193003E-05,7.58899998175551E-05
390,8.04420678142583E-05,5.70827837705677E-05,-1.45730717971712E-05,0.000101350424687
391,6.76808965407772E-05,4.59369991610915E-05,-1.4415561990304E-05,8.27721655267569E-05
392,5.4919725267296E-05,3.47912145516154E-05,-1.42580521834367E-05,6.41939063668761E-05
393,4.21585539938148E-05,2.36454299421393E-05,-1.41005423765695E-05,4.56156472069952E-05
394,2.93973827203336E-05,1.24996453326632E-05,-1.39430325697023E-05,2.70373880471143E-05
395,1.66362114468524E-05,1.35386072318704E-06,-1.37855227628351E-05,8.45912888723346E-06
396,1.66303142319502E-05,9.8871474212928E-06,-1.25336755068914E-05,1.96369986207632E-05
397,1.6624417017048E-05,1.84204341193986E-05,-1.12818282509478E-05,3.0814868354293E-05
398,1.66185198021458E-05,2.69537208175043E-05,-1.00299809950042E-05,4.19927380878228E-05
399,1.66126225872436E-05,3.54870075156101E-05,-8.77813373906052E-06,5.31706078213526E-05
400,1.66067253723414E-05,4.40202942137158E-05,-7.52628648311689E-06,6.43484775548824E-05
401,1.56765686159167E-05,4.87417988604536E-05,5.55067938507504E-07,7.43358454882743E-05
402,1.4746411859492E-05,5.34633035071914E-05,8.6364223601319E-06,8.43232134216663E-05
403,1.38162551030673E-05,5.81848081539292E-05,1.67177767817563E-05,9.43105813550582E-05
404,1.28860983466426E-05,6.29063128006669E-05,2.47991312033807E-05,0.000104297949288
405,1.1955941590218E-05,6.76278174474047E-05,3.28804856250051E-05,0.000114285317222
406,7.97128792125723E-06,7.22772966063169E-05,2.16762120714378E-05,0.000101918456895
407,3.9866342522965E-06,7.6926775765229E-05,1.04719385178706E-05,8.95515965674382E-05
408,1.98058333576908E-09,8.15762549241412E-05,-7.32335035696623E-07,7.71847362402362E-05
409,-3.98267308562496E-06,8.62257340830534E-05,-1.19366085892639E-05,6.48178759130343E-05
410,-7.96732675458569E-06,9.08752132419656E-05,-2.31408821428311E-05,5.24510155858323E-05
411,-8.03572952211322E-06,0.000166839194209,-1.15006539504506E-05,6.42038740805467E-05
412,-8.10413228964074E-06,0.000242803175176,1.39574241929826E-07,7.59567325752611E-05
413,-8.17253505716826E-06,0.000318767156143,1.17798024343103E-05,8.77095910699755E-05
414,-8.24093782469579E-06,0.00039473113711,2.34200306266908E-05,9.94624495646899E-05
415,-8.30934059222331E-06,0.000470695118077,3.50602588190712E-05,0.000111215308059
416,-7.31782168540527E-06,0.000726053591125,7.88741427477692E-05,0.000167602384425
417,-6.32630277858724E-06,0.000981412064173,0.000122688026676,0.00022398946079
418,-5.3347838717692E-06,0.001236770537221,0.000166501910605,0.000280376537156
419,-4.34326496495116E-06,0.001492129010269,0.000210315794534,0.000336763613521
420,-3.35174605813313E-06,0.001747487483317,0.000254129678463,0.000393150689887
421,-5.04927997123648E-06,0.002179125678027,0.000309576900266,0.000452859109382
422,-6.74681388433983E-06,0.002610763872737,0.00036502412207,0.000512567528878
423,-8.44434779744318E-06,0.003042402067447,0.000420471343873,0.000572275948373
424,-1.01418817105465E-05,0.003474040262157,0.000475918565677,0.000631984367869
425,-1.18394156236499E-05,0.003905678456867,0.00053136578748,0.000691692787364
426,-9.66514163659424E-06,0.004304579410484,0.000599091612022,0.00072707695109
427,-7.49086764953861E-06,0.004703480364102,0.000666817436563,0.000762461114815
428,-5.31659366248297E-06,0.005102381317719,0.000734543261105,0.00079784527854
429,-3.14231967542734E-06,0.005501282271336,0.000802269085646,0.000833229442265
430,-9.68045688371705E-07,0.005900183224953,0.000869994910188,0.00086861360599
431,-9.62825344542453E-07,0.0065287587022,0.000981739251333,0.000914418911141
432,-9.57605000713202E-07,0.007157334179446,0.001093483592477,0.000960224216291
433,-9.52384656883951E-07,0.007785909656693,0.001205227933622,0.001006029521441
434,-9.47164313054699E-07,0.008414485133939,0.001316972274767,0.001051834826591
435,-9.41943969225448E-07,0.009043060611186,0.001428716615911,0.001097640131741
436,-1.12360237074387E-06,0.009358180454827,0.001482267992855,0.001113936884963
437,-1.3052607722623E-06,0.009673300298468,0.001535819369799,0.001130233638184
438,-1.48691917378073E-06,0.009988420142109,0.001589370746743,0.001146530391405
439,-1.66857757529916E-06,0.01030353998575,0.001642922123687,0.001162827144627
440,-1.85023597681758E-06,0.010618659829391,0.00169647350063,0.001179123897848
441,-3.51553801593855E-06,0.010761774328922,0.001741885690423,0.001174925099005
442,-5.18084005505951E-06,0.010904888828453,0.001787297880215,0.001170726300162
443,-6.84614209418048E-06,0.011048003327984,0.001832710070008,0.001166527501318
444,-8.51144413330144E-06,0.011191117827515,0.0018781222598,0.001162328702475
445,-1.01767461724224E-05,0.011334232327046,0.001923534449593,0.001158129903632
446,-1.03022913609991E-05,0.011395767107044,0.001948715808412,0.001130451605643
447,-1.04278365495758E-05,0.011457301887043,0.001973897167231,0.001102773307655
448,-1.05533817381525E-05,0.011518836667042,0.00199907852605,0.001075095009667
449,-1.06789269267292E-05,0.011580371447041,0.00202425988487,0.001047416711679
450,-1.0804472115306E-05,0.011641906227039,0.002049441243689,0.001019738413691
451,-9.24505529545261E-06,0.011691754753393,0.002081010848271,0.001009301590569
452,-7.68563847559927E-06,0.011741603279747,0.002112580452853,0.000998864767448
453,-6.12622165574593E-06,0.0117914518061,0.002144150057436,0.000988427944327
454,-4.56680483589259E-06,0.011841300332454,0.002175719662018,0.000977991121206
455,-3.00738801603925E-06,0.011891148858808,0.0022072892666,0.000967554298085
456,-4.0678747196924E-06,0.011929193550513,0.002285397572543,0.000962514288207
457,-5.12836142334554E-06,0.011967238242218,0.002363505878486,0.000957474278329
458,-6.18884812699868E-06,0.012005282933923,0.002441614184429,0.000952434268452
459,-7.24933483065182E-06,0.012043327625628,0.002519722490372,0.000947394258574
460,-8.30982153430496E-06,0.012081372317333,0.002597830796315,0.000942354248696
461,-5.19390564666641E-06,0.012155979005445,0.00271078254207,0.000967926476607
462,-2.07798975902786E-06,0.012230585693557,0.002823734287824,0.000993498704517
463,1.03792612861069E-06,0.012305192381668,0.002936686033578,0.001019070932428
464,4.15384201624925E-06,0.01237979906978,0.003049637779333,0.001044643160339
465,7.2697579038878E-06,0.012454405757892,0.003162589525087,0.001070215388249
466,4.64822593444407E-06,0.012403771112195,0.003280732515664,0.001062192745618
467,2.02669396500035E-06,0.012353136466499,0.003398875506242,0.001054170102986
468,-5.94838004443369E-07,0.012302501820802,0.003517018496819,0.001046147460355
469,-3.21636997388709E-06,0.012251867175106,0.003635161487396,0.001038124817723
470,-5.83790194333081E-06,0.012201232529409,0.003753304477973,0.001030102175092
471,-4.47488228299147E-06,0.012134528397537,0.003858350456268,0.001057773248251
472,-3.11186262265212E-06,0.012067824265664,0.003963396434563,0.00108544432141
